institution,fiscal_year,study_level,gender,headcount
Nipissing,2018-2019,Undergraduate,Female,2313
Nipissing,2018-2019,Undergraduate,Male,996
Nipissing,2018-2019,Undergraduate,N/A or Another,90
Nipissing,2018-2019,Graduate,Female,113
Nipissing,2018-2019,Graduate,Male,53
Nipissing,2018-2019,Graduate,N/A or Another,0
Nipissing,2019-2020,Undergraduate,Female,2524
Nipissing,2019-2020,Undergraduate,Male,1077
Nipissing,2019-2020,Undergraduate,N/A or Another,14
Nipissing,2019-2020,Graduate,Female,107
Nipissing,2019-2020,Graduate,Male,54
Nipissing,2020-2021,Undergraduate,Female,2480
Nipissing,2020-2021,Undergraduate,Male,1109
Nipissing,2020-2021,Undergraduate,N/A or Another,15
Nipissing,2020-2021,Graduate,Female,113
Nipissing,2020-2021,Graduate,Male,65
Nipissing,2021-2022,Undergraduate,Female,2596
Nipissing,2021-2022,Undergraduate,Male,1137
Nipissing,2021-2022,Undergraduate,N/A or Another,20
Nipissing,2021-2022,Graduate,Female,121
Nipissing,2021-2022,Graduate,Male,63
Nipissing,2022-2023,Undergraduate,Female,2439
Nipissing,2022-2023,Undergraduate,Male,1145
Nipissing,2022-2023,Undergraduate,N/A or Another,31
Nipissing,2022-2023,Graduate,Female,113
Nipissing,2022-2023,Graduate,Male,56
Nipissing,2023-2024,Undergraduate,Female,2506
Nipissing,2023-2024,Undergraduate,Male,1256
Nipissing,2023-2024,Undergraduate,N/A or Another,106
Nipissing,2023-2024,Graduate,Female,114
Nipissing,2023-2024,Graduate,Male,53
NOSMU,2012-2013,Undergraduate,Female,248
NOSMU,2012-2013,Undergraduate,Male,139
NOSMU,2013-2014,Undergraduate,Female,268
NOSMU,2013-2014,Undergraduate,Male,148
NOSMU,2014-2015,Undergraduate,Female,271
NOSMU,2014-2015,Undergraduate,Male,154
NOSMU,2015-2016,Undergraduate,Female,273
NOSMU,2015-2016,Undergraduate,Male,160
NOSMU,2016-2017,Undergraduate,Female,267
NOSMU,2016-2017,Undergraduate,Male,170
NOSMU,2017-2018,Undergraduate,Female,269
NOSMU,2017-2018,Undergraduate,Male,169
NOSMU,2018-2019,Undergraduate,Female,279
NOSMU,2018-2019,Undergraduate,Male,169
